filename,speech_name,noise_name,realization,SNR,technique,llr,snrg
F200503_SNOW4_inf,F200503,SNOW,4,inf,noisy,,
F200503_VACUUM0_-20,F200503,VACUUM,0,-20.0,noisy,,-1.1920928955078125e-05
F200503_VACUUM0_-10,F200503,VACUUM,0,-10.0,noisy,,-4.172325134277344e-05
F200503_VACUUM0_-5,F200503,VACUUM,0,-5.0,noisy,,-0.00010728836059570312
F200503_VACUUM0_0,F200503,VACUUM,0,0.0,noisy,,-0.00015195329069683794
F200503_VACUUM0_5,F200503,VACUUM,0,5.0,noisy,,-0.00014990568161010742
F200503_VACUUM0_10,F200503,VACUUM,0,10.0,noisy,,-0.0003439188003540039
F200503_VACUUM0_20,F200503,VACUUM,0,20.0,noisy,,-0.002924203872680664
F200503_VACUUM0_inf,F200503,VACUUM,0,inf,noisy,,
F200503_VACUUM1_-20,F200503,VACUUM,1,-20.0,noisy,,-1.1920928955078125e-05
F200503_VACUUM1_-10,F200503,VACUUM,1,-10.0,noisy,,-2.6226043701171875e-05
F200503_VACUUM1_-5,F200503,VACUUM,1,-5.0,noisy,,-0.0001227855682373047
F200503_VACUUM1_0,F200503,VACUUM,1,0.0,noisy,,-9.577914170222357e-05
F200503_VACUUM1_5,F200503,VACUUM,1,5.0,noisy,,-0.00034123659133911133
F200503_VACUUM1_10,F200503,VACUUM,1,10.0,noisy,,-0.0007081031799316406
F200503_VACUUM1_20,F200503,VACUUM,1,20.0,noisy,,-0.002543926239013672
F200503_VACUUM1_inf,F200503,VACUUM,1,inf,noisy,,
F200503_VACUUM2_-20,F200503,VACUUM,2,-20.0,noisy,,-2.1457672119140625e-05
F200503_VACUUM2_-10,F200503,VACUUM,2,-10.0,noisy,,-4.291534423828125e-05
F200503_VACUUM2_-5,F200503,VACUUM,2,-5.0,noisy,,-8.106231689453125e-05
F200503_VACUUM2_0,F200503,VACUUM,2,0.0,noisy,,-0.00018845394151867367
F200503_VACUUM2_5,F200503,VACUUM,2,5.0,noisy,,-0.00018417835235595703
F200503_VACUUM2_10,F200503,VACUUM,2,10.0,noisy,,-0.0006067752838134766
F200503_VACUUM2_20,F200503,VACUUM,2,20.0,noisy,,-0.0034105777740478516
F200503_VACUUM2_inf,F200503,VACUUM,2,inf,noisy,,
F200503_VACUUM3_-20,F200503,VACUUM,3,-20.0,noisy,,-9.5367431640625e-06
F200503_VACUUM3_-10,F200503,VACUUM,3,-10.0,noisy,,-2.0265579223632812e-05
F200503_VACUUM3_-5,F200503,VACUUM,3,-5.0,noisy,,-6.198883056640625e-05
F200503_VACUUM3_0,F200503,VACUUM,3,0.0,noisy,,-0.00014444610314967576
F200503_VACUUM3_5,F200503,VACUUM,3,5.0,noisy,,-0.00024259090423583984
F200503_VACUUM3_10,F200503,VACUUM,3,10.0,noisy,,-0.0005167722702026367
F200503_VACUUM3_20,F200503,VACUUM,3,20.0,noisy,,-0.002181529998779297
F200503_VACUUM3_inf,F200503,VACUUM,3,inf,noisy,,
F200503_VACUUM4_-20,F200503,VACUUM,4,-20.0,noisy,,-4.76837158203125e-06
F200503_VACUUM4_-10,F200503,VACUUM,4,-10.0,noisy,,-3.814697265625e-05
F200503_VACUUM4_-5,F200503,VACUUM,4,-5.0,noisy,,-7.271766662597656e-05
F200503_VACUUM4_0,F200503,VACUUM,4,0.0,noisy,,-0.00020916366338497028
F200503_VACUUM4_5,F200503,VACUUM,4,5.0,noisy,,-0.00033080577850341797
F200503_VACUUM4_10,F200503,VACUUM,4,10.0,noisy,,-0.0004845857620239258
